Movie_Name,Genre,Running_Time,Metascore,Release_year,IMDb_Rating,Movie_Description,Votes,Gross
Everything Everywhere All at Once,"Action, Adventure, Comedy",139 min,81,2022,7.8,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.,"470,769",$72.86M
Spider-Man: Into the Spider-Verse,"Animation, Action, Adventure",117 min,87,2018,8.4,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,"619,109",$190.24M
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni","Animation, Action, Drama",87 min,,1997,8.1,Concurrent theatrical ending of the TV series Shinseiki Evangelion (1995).,"59,869",
Star Wars: Episode V - The Empire Strikes Back,"Action, Adventure, Fantasy",124 min,82,1980,8.7,"After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.","1,335,275",$290.48M
Stalker,"Drama, Sci-Fi",162 min,85,1979,8.1,A guide leads two men through an area known as the Zone to find a room that grants wishes.,"139,753",$0.23M
Spider-Man: No Way Home,"Action, Adventure, Fantasy",148 min,71,2021,8.2,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.","822,068",$804.75M
2001: A Space Odyssey,"Adventure, Sci-Fi",149 min,84,1968,8.3,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins: a spacecraft manned by two men and the supercomputer HAL 9000.","693,694",$56.95M
The Thing,"Horror, Mystery, Sci-Fi",109 min,57,1982,8.2,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,"444,411",$13.78M
It's Such a Beautiful Day,"Animation, Comedy, Drama",62 min,90,2012,8.2,"Bill struggles to put together his shattered psyche, in this new feature film version of Don Hertzfeldt's animated short film trilogy.","15,057",
Alien,"Horror, Sci-Fi",117 min,89,1979,8.5,The crew of a commercial spacecraft encounters a deadly lifeform after investigating an unknown transmission.,"913,905",$78.90M
Shin Evangelion Gekijôban,"Animation, Action, Drama",154 min,84,2021,8,"The fourth and final installment of the Rebuild of Evangelion. Misato and her anti-Nerv group Wille arrive in Paris, a city now red from core-ization. Crew from the flagship Wunder land on a containment tower.","12,597",$0.83M
